USER,URL,Title
Loki,https://www.independent.co.uk/topic/MarkZuckerberg,"Mark Zuckerberg - latest news, breaking stories and comment - The Independent"
Loki,https://www.independent.co.uk/topic/MarkZuckerberg,"Mark Zuckerberg - latest news, breaking stories and comment - The Independent"
Loki,https://www.crunchbase.com/person/mark-zuckerberg,Mark Zuckerberg - Founder & CEO @ Facebook | Crunchbase
Loki,https://www.facebook.com/zuck,(1) Mark Zuckerberg
Loki,https://www.cnbc.com/mark-zuckerberg/,Mark Zuckerberg - CNBC
Loki,https://www.crunchbase.com/person/mark-zuckerberg,Mark Zuckerberg - Founder & CEO @ Facebook | Crunchbase
Loki,https://www.forbes.com/profile/mark-zuckerberg/#35fa8723e06d,Mark Zuckerberg
Loki,https://www.forbes.com/profile/mark-zuckerberg/,Mark Zuckerberg
Loki,https://www.biography.com/business-figure/mark-zuckerberg,"Mark Zuckerberg - Facebook, Family & Accomplishments - Biography"
Loki,https://www.facebook.com/zuck,(1) Mark Zuckerberg
Loki,https://en.wikipedia.org/wiki/Mark_Zuckerberg,Mark Zuckerberg - Wikipedia
Loki,https://www.google.com/search?q=mark+zuckerberg&rlz=1C1CHBF_enUS796US796&oq=Mark+zuckerberg&aqs=chrome.0.0l6.2119j0j9&sourceid=chrome&ie=UTF-8,mark zuckerberg - Google Search
