USER,URL,Title
Mark,https://www.msn.com/en-us/news/good-news/two-penguins-break-into-sushi-bi-restaurant-in-wellington-new-zealand/ar-AAEwOdB,"Two penguins break into Sushi Bi restaurant in Wellington, New Zealand"
Mark,https://www.rd.com/food/fun/how-to-reheat-leftover-pizza/,This Is the Only Way You Should Be Reheating Leftover Pizza
Mark,https://www.rd.com/food/recipes-cooking/cold-press-juicers-worth-your-money/,9 Cold Press Juicers That Are Definitely Worth Your Money
Mark,https://www.rd.com/food/fun/ruby-chocolate/,"After 80 Years, a New Fourth Type of Chocolate Has Been Discovered"
Mark,https://sanfrancisco.cbslocal.com/top-lists/best-doughnuts-in-the-bay-area/,Top 5 Places In The Bay Area To Grab a Doughnut
Mark,https://sanfrancisco.cbslocal.com/top-lists/best-fall-festivals-coming-to-bay-area/,Best Fall Festivals Coming To The Bay Area
Mark,https://www.buzzfeed.com/hannahloewentheil/five-ingredient-work-school-lunch-ideas,15 Five-Ingredient Lunches You Can Pack For Work Or School
Mark,https://www.buzzfeed.com/sydrobinson1/starbucks-name-fails,16 Starbucks Name Fails That Are Sooo Wrong They're Right
Mark,https://www.buzzfeed.com/crystalro/marvel-phase-4-movies-shows-best?origin=nofil,Which Marvel Phase 4 Movie Or TV Show Are You Most Excited About?
Mark,https://www.buzzfeed.com/ajanibazile/best-moments-from-extreme-cheapteaks?origin=nofil,19 Money-Saving “Hacks” From “Extreme Cheapskates” That’ll Leave You Either Impressed Or Mortified
Mark,https://www.npr.org/2019/07/22/742275893/venezuelan-officers-who-fled-to-colombia-are-adrift-as-maduro-holds-onto-power,Venezuelan Officers Who Fled To Colombia Are 'Adrift' As Maduro Holds Onto Power
Mark,https://www.npr.org/2019/07/22/744011392/cambodia-denies-report-of-deal-with-china-for-use-of-naval-base,Cambodia Denies Report Of Deal With China For Use Of Naval Base
Mark,https://www.npr.org/2019/07/21/743938222/for-britains-next-prime-minister-a-high-stakes-standoff-with-iran-awaits,"For Britain's Next Prime Minister, A High-Stakes Standoff With Iran Awaits"
Mark,https://www.usnews.com/news/politics/articles/2019-07-22/the-2020-presidential-money-race-in-5-charts,"The 2020 Presidential Money Race, in 5 Charts"
Mark,https://www.usnews.com/news/healthiest-communities/articles/2019-07-22/native-americans-take-control-of-their-health-care-in-north-carolina,"In North Carolina, Native Americans Take Control of Their Health Care"
